Complexity_level,text
L-E,a better theory is like how an ants or whatever are working or somthing couse you can wach videos
L-E,my theory do you know energy carries all the time right now energy is being carried from a plant to little animal to big animal back to little animal to soil and it repeats agian and again
L-E,my theory i think worker ants do most of the work the worker ants would be building the ant hill i agree that the ant hills would be made out of dirt too
L-E,my theory if ants build ant houses and they carrie the grains of sand won't they fall of
L-E,my theory if you need any ideas dont water the ants ants could die if waters hits ants build just a few ant hills because thousands of ants live in one ant hill
L-E,my theory is i think if you wanna see if it is a living it has to grow somthing and need water to live new information a non living thing does not need water to survive
L-E,my theory is if a venomous or poisonous animal eats another venomous or poisonous animal some will survive and some will maybe die some animals eat venomous or poisonous animal as a food sourse but maybe another animal can't survive it
L-E,my theory is if you crush a seed and give it water soil and sun it will grow
L-E,my theory is it flips over
L-E,my theory is many apples rot because the weather is changing
L-E,my theory is maybe that the male might become king of the ants
L-E,my theory is over time i think that the stem of the apple gets weaker and weaker and sometimes the wind might blow the apple off the tree and probably some animals nock them off too
L-E,my theory is that a bird or animal flys over and drops it into the courtyard and then lays eggs that make more spider which make more and more and more until they go exsticked or the eco system dies
L-E,my theory is that air works to clean up are ecostyem by blowing dead leaves away or to barry it
L-E,"my theory is that an anthill is prepared by worker ants that are strong like not ants that are just born a better theory is that the queen ant could get a part of a different colony who the queen says in ant language could say ""build me an anthill """
L-E,my theory is that animanles clime under ground to the court yard and eat bugs and frogs other animales to how do all those other animanles
L-E,my theory is that birds carry them over
L-E,my theory is that i usually see moss on the dark areas of trees so i am thinking it forms on dark areas i also think it forms when its dewy and wet
L-E,my theory is that if a predetor is close it will turn over to blend in
L-E,my theory is that if moss dies out then it will create a problem wave in the ecosydom many animals will die and plants will to because it provides water on those hot days when there is no water
L-E,my theory is that it will still live but it cant do thing as fast it will walk way slower and it may die because it cant get to food on time
L-E,my theory is that jaguars don't really eat chimpanzees and that people from africa don't kill and eat jaguars but i think that chimpanzees might eat ants good work overall
L-E,my theory is that mabye 2 grass hoppers went arcross the top of the building and had a lot of kids grass hoppers and thats how this theory cannot explain how the grass hoppers made it across
L-E,my theory is that maybe plantsmake food the roots also need air so they can get nutrients and plants need air they use the carbon dioxide in the air for water because there is 1% of water in air it is called photosynthesis some info from google
L-E,new information all ants have different jobs as they grow they get darker ants go faster since they have tiny legs there can be a thousands of ants in a anthill if a ant get feed the right things they can be a queen
L-E,new information almost every ecosystem needs soil for their environment soil is a massive help towards growing plants and being homes towards many insects without soil plants wouldn't grow and the food web would go wack without all the producers plants
L-E,new information almost every ecosystem needs water to grow its enviornment and its whole species every animal needs water plants need it in order to grow too without plants in the food chain it would go wack making a species over populated and then go extinct
L-E,new information i learned is that abiotic means decomposition by a chemical process and that biotic means decomposition of living orgonisms
L-E,new information peat is formed by decaying moss and plants this is important because peat is a fuel it can be used for fertilizer burn for fuel and eventually it becomes coal
L-E,new information the sun provides humankind with light and heat to create new earth habitate it also provides plants to grow to help the food chain sunlight also helps with weather which weather helps ecosystems too sunlight can cause droughts when there is less rain and intense rain
L-E,new information you can tell how old a tree is if you cut it open a bit you see circles 1 circle for every year
L-E,new information when ants die the other ants leave it alone but after two days they carry it to the ant graveyard they do this because after two days it starts to smell which gives signals to the ants that it is dead
L-E,blockquote i learned that the food chain is what connects animals my theory is that the food chain is in regions because pandas are only in asia so something in antarica can't eat it a better theory i have is that somehing in both places can connect them mabey something that live in one place gets eaten by something tat lives there and in another place and that animal gets eaten by anther animal blockquote
L-E,a plant can grow without real sunlight but if you dont have real sunlight it has to grow withartificial sunlight lamp light night light but a plant can not grow without sunlight
L-E,a species is a group of organisms that are so alike they classify as a group to be a type of species the organisms have to be able to reproduce for example a mule is not a species because it is not able to reproduce
L-E,air+water+sunlight=wind water makes clouds and if you add too much wind you'll make a thunderstorm or atornado
L-E,all moss needs to havespores to live causethat is how water and air gets into the mossor the plant
L-E,all plants usesunlightto make food sugars in a process called photosynthesis
L-E,another reason why living things need energy is because if you don´t eat you can starve and cannot live
